a,PRIORITY,DATE,ARTIST,TITLE,FORMAT,GENRE,Album Date,FOCUS TRACK,LABEL,DISTRIBUTOR,SPOTIFY URI ,ISRC,Apple ID,UPC/ Barcode,DESCRIPCIÓN,DESCRIPTION,LISTEN,VAULT LINK TO PHOTO,DSP HIGHLIGHTS,DROPBOX FOLDER,DSP NOTES
,Med,Jan 16,The Funeral Portrait,Live From Suffocate City,Album,"Rock, Hard Rock",,Stay Weird,Better Noise ,,spotify:album:7zwtt2Bpjfeeet93UF7j8r,,1847487443,846070098505,"Con esta vibrante versión en vivo de sus canciones, TFP celebra el final del ciclo de su album debut Greetings From Suffocate City. Impulsados por el éxito de la canción Dark Thoughts —actualmente #2 en Active Rock y precedido por dos singles consecutivos #1 en el formato—, el proyecto ha tenido un crecimiento contundente con streams en alza (+170% en los últimos 12 meses) y una sólida tracción digital, sumando más de 150K seguidores combinados y alto engagement orgánico. En 2025 realizaron 176 shows a nivel mundial, fueron nombrados Pandora Artist to Watch 2025 y han compartido escenario con nombres clave como Five Finger Death Punch, Shinedown, Ice Nine Kills y Skillet. En DSPs, destacan con 9.6M streams totales y fuerte actividad en Apple Music, y 1.9M oyentes totales en Amazon, consolidando un momentum claro dentro del rock actual.","With this vibrant live version of their songs, TFP celebrates the end of the cycle of their debut album Greetings From Suffocate City. Driven by the success of the song Dark Thoughts—currently #2 on Active Rock and preceded by two consecutive #1 singles in the format—the project has seen tremendous growth with streams on the rise (+170% in the last 12 months) and solid digital traction, adding more than 150K combined followers and high organic engagement. In 2025, they performed 176 shows worldwide, were named Pandora Artist to Watch 2025, and shared the stage with key names such as Five Finger Death Punch, Shinedown, Ice Nine Kills, and Skillet. On DSPs, they stand out with 9.6 million total streams and strong activity on Apple Music, and 1.9 million total listeners on Amazon, consolidating clear momentum within today's rock scene.",https://www.dropbox.com/scl/fo/owvmzoavu846n8x7lgnxl/AMa6AOLQDPA-6pwNtuGGAPg?rlkey=ra2m2qle2cpvos21b8dp7zv54&e=1&st=idb4q532&dl=0,,,,
,Med,Jan 16,BXKS,FEAR OF ECLIPSE,EP,alternative,,SING4ME,XL Recordings,Beggars,spotify:track:6XxWKbPOJGo6cwYFUvLAU3,GBBKS2500503,1851517604,191404641057,"BXKS está entrando en su era. Después de una serie de himnos underground y visuales que rompen esquemas, BXKS cierra su 2025 con ‘FEAR OF ECLIPSE’, una mixtape mutante de 11 temas liderada por el muy esperado ‘SING 4 ME’, que fusiona energía grime, producción futurista y letras intrépidas. Después de su año más grande hasta ahora, la rapera británica emergente está lista para reclamar el 2026, anunciándose como la próxima fuerza en el rap global.","BXKS is stepping into her era. After a string of underground anthems and boundary-pushing visuals, BXKS ends her 2025 with ‘FEAR OF ECLIPSE’, an 11-track shape-shifting mixtape led by the heavily anticipated ‘SING 4 ME’, that fuses grime energy, futuristic production, and fearless lyricism. After her biggest year yet, the rising UK rapper is ready to claim 2026 announcing herself as the next force in global rap.","https://www.promojukebox.com/PEMDL61367977-LX9ZQ2DXBTS74M8Q-imeldahehir%40beggars.com,imelda.hehir.xl12",,,,
,,,,,,,,,,,,,,,,,,,,,
,Rare,Jan 20,Snail Mail ,Dead End,Single,Alternative,Mar 27,,Matador ,Beggars,spotify:track:2DcJRwVK6Qlk3h6lXWQvE4,USMTD2500298,1862845874,191401222679,"On March 27, Snail Mail (Lindsey Jordan) releases her third album Ricochet, co-produced with Momma’s Aron Kobayashi Ritch. Lead single “Dead End” pairs a wall of grunge-gaze textures with a piercing lead guitar riff and sugary hooks, building tension until it culminates into an explosive ’nah-nah-nah’ singalong. Ricochet marks both a return to the introspective guitar-pop of her acclaimed debut Lush and a bold evolution of Jordan’s generational songwriting. Extensive WW touring set for 2026","On March 27, Snail Mail (Lindsey Jordan) releases her third album Ricochet, co-produced with Momma’s Aron Kobayashi Ritch. Lead single “Dead End” pairs a wall of grunge-gaze textures with a piercing lead guitar riff and sugary hooks, building tension until it culminates into an explosive ’nah-nah-nah’ singalong. Ricochet marks both a return to the introspective guitar-pop of her acclaimed debut Lush and a bold evolution of Jordan’s generational songwriting. Extensive WW touring set for 2026","https://www.promojukebox.com/PEMDL48375046-7C4H8CVB777V4PMJ-imeldahehir%40beggars.com,imelda.hehir.mat1",,,,
,Med,Jan 20,Courtney Barnett,"""Site Unseen"" ft. Waxahatchee",Single,Alternative,Mar 27,,Mom+Pop,,,,,,"Courtney Barnett presenta “Site Unseen”, su nuevo single junto a Waxahatchee, ya disponible. La canción adelanta su esperado cuarto álbum de estudio, Creature of Habit, que verá la luz el 27 de marzo vía Mom+Pop Music. Con su inconfundible lirismo observacional y una sensibilidad emocional profunda, “Site Unseen” explora la aceptación del cambio y el acto de soltar, enriquecida por las armonías de Katie Crutchfield. El tema nace en un momento de transformación personal y artística para Barnett, y anticipa el tono íntimo y reflexivo de Creature of Habit. Courtney Barnett acompañará el lanzamiento del álbum con una gira por Norteamérica a partir de mayo.","Courtney Barnett returns with “Site Unseen”, a new single featuring Waxahatchee, out now. The track introduces Barnett’s upcoming fourth studio album Creature of Habit, due March 27 via Mom+Pop Music. “Site Unseen” blends Courtney’s signature perceptive lyricism with warm, understated harmonies from Katie Crutchfield, capturing themes of change, letting go, and emotional recalibration. Written during a major period of transition—relocating from Australia to Los Angeles and closing her longtime label Milk! Records—the song reflects the openness and self-interrogation that define Creature of Habit. The album marks a bold new chapter for Courtney Barnett, pairing intimate storytelling with a renewed creative focus. North American tour dates in support of the album begin in May.",https://www.youtube.com/watch?v=UGyGDtbEcXE,,,,
,Low,Jan 20,Hen Ogledd,Clara,Single,Alternative,,,Domino,,spotify:track:0jih7c3jIbveYEsGlAAELi,GBCEL2500486,1848325745,887833018194,"Hen Ogledd —el cuarteto formado por Dawn Bothwell, Rhodri Davies, Richard Dawson y Sally Pilkington— regresa con su tercer álbum, DISCOMBOBULATED, previsto para febrero de 2026. Un viaje brillante y sin etiquetas a través del estado de la nación. Grabado con Sam Grant en Blank Studios, el disco fusiona protesta impulsada por metales, psicodelia en galés y momentos de asombro festivo. El primer sencillo, Scales Will Fall, sale el 21 de noviembre; el álbum completo llegará en febrero de 2026.","Hen Ogledd — the quartet of Dawn Bothwell, Rhodri Davies, Richard Dawson and Sally Pilkington — return with their third album in February 2026 DISCOMBOBULATED, a brilliant, genre-blurring journey through the state of the nation. Recorded with Sam Grant at Blank Studios, it fuses brass-driven protest (‘Scales Will Fall’), Welsh-language psychedelia (‘Dead in a Post-Truth World’), and festive wonder (‘Clara’). The 20-minute centrepiece ‘Clear Pools’ shimmers with delicate hope. First single ‘Scales Will Fall’ arrives Nov 21, with the full album due Feb 2026",https://delivery.dominomusic.com/823e49e07bcd86ee61,,,,
,Med,Jan 21,Alan Braxe & Fred Falke,Intro (Fred Falke Remix),Single,Electronic,,,Smugglers Way,Domino,spotify:track:5nxJbZFIHf8iGndx8eOJMa,GBCEL2500673,1861552656,192152092498,"Para celebrar los 25 años de Intro, el himno bailable construido a partir del sample de Crush On You de The Jets y la línea de bajo atemporal de Fred Falke, lanzamos una reedición limitada en vinilo 12”. El lanzamiento incluye el mix original de Intro y nuevos remixes: el crudo y directo hotel room edit de Alan y un remix cósmico de disco a cargo de Fred. Este lanzamiento marca la primera colaboración inédita del dúo en más de 20 años.","To celebrate the 25th anniversary of “Intro"", the magical dance anthem built on a sample from “Crush On You” by The Jets and a timeless snaking baseline from Fred Falke, we are releasing a limited edition 12” re-issue. The release will contain the original mix of ""Intro"" and brand new remixes of the track by Alan and his raw and dirty, ‘hotel room edit’ and Fred's cosmic disco floor filler remix. This marks the duo’s first new collaborative release in over 20 years! ",https://delivery.dominomusic.com/d8361996b953ce13d1,,,,
,Med,Jan 21,Maria Somerville,Luster Remixes,EP,Electronic,,Violet (YHWH Nailgun Remix),4AD,Beggars,spotify:album:4R4Xj2Qz3YPdGD7BIQPOj4,GBAFL2500522,1847965943,191400086944,"La enigmática cantautora irlandesa Maria Somerville, tras su LP Luster destacado como Best New Music por Pitchfork, regresa con un EP de remixes (21 de enero). Incluye la versión de YHWH Nailgun de “Violet”, con maderas zumbantes, loops vocales y rototoms afilados. También participan Boris, Seefeel, colle y más. Somerville continúa su ascenso con apariciones regulares en NTS y una gira global junto a My Bloody Valentine, Joanne Robertson y james K.","Enigmatic Irish songstress Maria Somerville follows her Pitchfork Best New Music LP Luster (“Classic 4AD; droning, nebulous”, SGUM) w/ a remix EP (out Jan 21), including YHWH Nailgun’s take on “Violet” via humming woodwinds, a droning vocal loop, & razor-edged rototoms. Additional remixes by Japanese sludge metal band Boris, 90s post-rockers Seefeel, ambient NYC songwriter colle (Chanel Beads), more. Regular NTS radio spots; global tour ft dates w/ My Bloody Valentine, Joanne Robertson, james K.","https://www.promojukebox.com/PEMDL90424046-8HLXG9GBVL8HLLX3-imeldahehir%40beggars.com,imelda.hehir.4ad1.2",,,,
,Med,Jan 21,Death Lens,Monolith,Single,"Rock, Alternative, Punk",,,Epitaph,,spotify:track:2qWJ3H3iMEnkeyi8t0QfGr,USEP42541001,1860695364,0045778816040,"La banda de punk alternativo de Los Ángeles Death Lens regresa con «Monolith», el potente sencillo principal de su próximo álbum What’s Left Now? (Álbum a la venta el 24 de abril). Enmarcada como una desafiante historia de origen, la canción se abre camino a través de un mundo que se sintió hostil desde el primer día, negándose a encogerse o romperse. Impulsados por el agudo comentario sobre el frío mundo de 2024, la banda destila su mezcla de punk melódico y hardcore en un sonido aún más vibrante y dominante.","Los Angeles alt-punks Death Lens return with “Monolith,” the hard-charging lead single from their forthcoming album What’s Left Now?.(Album out 4/24) Framed as a defiant origin story, the track claws its way through a world that felt hostile from day one, refusing to shrink or break. Propelled by the sharp commentary on 2024’s Cold World, the band distills their blend of melodic punk and hardcore into an even more vibrant & commanding sound.",https://www.dropbox.com/scl/fi/n6w0yz47j2fvn2ln5bs6v/Death-Lens-Monolith.wav?rlkey=2kwrf5bdyr3q0x4nedc0g9eom&st=w44ntgov&dl=0,,,,
,High,Jan 22,Arctic Monkeys,Opening Nights,Single,alternative,Mar 6,,War Child,Beggars,spotify:track:7HXzuAd8UNJj2yCAS0NWbB,,1870337570,,,,,,,,
,High,Jan 23,TIGA,HOT WIFE (feat. Boys Noize),Single,Electronic,,,,,spotify:track:7Ehjne6Dao0AXr5D6GaHSa ,CA0RZ2500314 ,1843433262,680341896434 ,"Tiga se reúne con Boys Noize en HOT WIFE, un himno electroclash juguetón que formará parte de su próximo álbum. Tras décadas de colaboraciones icónicas como “Bugatti” y “100”, el dúo regresa en un gran momento: Tiga viene de colaborar con Fcukers y Boys Noize está de gira mundial junto a Nine Inch Nails. El sencillo destaca por su espíritu ligero y divertido, combinando un beat electro contundente con un gancho vocal irresistible.","Tiga reunites with Boys Noize for HOT WIFE, a playful electroclash anthem from his upcoming album. Following decades of iconic collabs like “Bugatti” and “100,” the duo returns at a peak moment: Tiga fresh off a Fcukers collab and Boys Noize touring globally with Nine Inch Nails. The single is steeped in the light-hearted nature that each artist is well known for, balancing a richly electro beat with an undeniably lovable vocal hook. ",https://s.disco.ac/kjcmpjvctpko  ,,,,
,Med,Jan 23,The Hu,The Real You,Single,"hard rock, metal",,,Better Noise ,,spotify:album:6RVPnpptZoMHjubHk3VjBX,USDPK2500227,1862322630,810202534506,"Los grandes conquistadores mongoles del rock y el metal regresan con un 2026 cargado de nueva música, dando inicio a una nueva era impulsada por un fuerte momentum en giras, que incluye una gira por Estados Unidos en 2026 y una actuación histórica abriendo para Iron Maiden en Knebworth, Reino Unido, frente a 150,000 personas. Aclamada por medios como Billboard, NPR, GQ, The Guardian e incluso por Sir Elton John, la banda debutó en 2019 directamente en el #1 de las listas World Albums y Top New Artist, y desde entonces se ha consolidado como una presencia constante en festivales globales como Glastonbury, Coachella, Lollapalooza y Download Festival. Además, la banda grabó nueva música para Star Wars Jedi: Fallen Order de EA Games. Actualmente promedia 637 mil oyentes diarios en Apple Music, con 3 millones de Shazams y 66.4 millones de reproducciones acumuladas, y alcanza 1.7 millones de oyentes en Amazon Music, además de contar con un alcance combinado en redes sociales de más de 1.4 millones de seguidores, lo que la convierte en una opción sólida para playlists de Apple Music como The New Rock, Breaking Rock, Breaking Hard Rock, New in Rock y The Riff.","The great Mongolian conquerors of rock and metal come back with a a 2026 filled by exciting new music; the band will enter its next era backed by major touring momentum, including a 2026 U.S. tour and a landmark performance supporting Iron Maiden at Knebworth in the UK in front of 150,000 fans. Widely acclaimed by  outlets like Billboard, NPR, GQ, The Guardian, and even Sir Elton John, the band debuted in 2019 at #1 on the World Albums and Top New Artist charts, and has since become a staple at global festivals including Glastonbury, Coachella, Lollapalooza, and Download Festival.  They also recorded new music for EA Games’ Star Wars Jedi: Fallen Order. Currently averaging 637K daily listeners on Apple Music with 3M Shazams and 66.4M lifetime streams, and reaching 1.7M listeners on Amazon Music, the band also commands a combined social following of over 1.4M, making them a strong fit for Apple Music playlists such as The New Rock, Breaking Rock, Breaking Hard Rock, New in Rock, and The Riff.",https://www.dropbox.com/scl/fi/bbbtl5ad45v9cl405xmiy/08-The-Real-You-2025-11-17_Master_2496.wav?rlkey=z692e4mbd5ynbur9xvhqjnw4w&e=1&st=dk465m7o&dl=0,,,,
,Med,Jan 23,Cat Power,Redux,Album,Alternative,,Nothing Compares 2 U,Domino,,spotify:album:0NtxsKpmMPDFh6GMXHIUBW,GBCEL2500645,1846584290,887829155360,"Cat Power celebra en enero el 20º aniversario de su clásico The Greatest con el EP The Redux, que incluye dos nuevos covers y una versión reimaginada de Could We. El lanzamiento abre con su conmovedora interpretación de Try Me, el tema inmortal de James Brown. Try Me fue grabada durante las sesiones originales de The Greatest, pero quedó inconclusa hasta ahora. Todos los músicos que participan en la canción formaron parte de la banda de gira de aquel álbum. Además, Cat Power tiene prevista una extensa gira mundial por el 20º aniversario de The Greatest a lo largo de 2026.","Cat Power marks the 20th anniversary of her classic ‘The Greatest’ this January with The Redux EP — featuring two new covers and a reimagined version of ‘Could We.’ The EP launches with her stirring take on James Brown’s timeless ‘Try Me’. ‘Try Me’ was recorded during the original sessions for ""The Greatest"" but never completed until now. All of the players on ‘Try Me’ are from the touring band from 'The Greatest'. Live: Extensive worldwide 'The Greatest' 20th anniversary touring planned for 2026",https://delivery.dominomusic.com/5e1d571fa45680e8f8,,,,
,High,Jan 23, underscores,“Do It” (Yves Remix),Single,Alternative,March 20 tbd,,Mom+Pop,,spotify:album:44EyhJ1FgMrPqWBfXESlZg,USQE92500314,1819612563,810090097169,"Do It (Yves Remix) es una reimaginación del tema original, con una producción completamente nueva a cargo de Yves y underscores, además de un verso interpretado por Yves y nuevas tomas vocales de underscores que acompañan la producción actualizada con estética K-pop. El remix destaca la creciente conexión entre el K-pop y el mundo del hyperpop, con artistas como RM de BTS y Keonho y Martin de CORTIS mostrando su apoyo a underscores en los meses posteriores al lanzamiento de Do It.","Do It (Yves Remix) is a reimagination of the original, with all new production from Yves and underscores, as well as a verse laid down by Yves and brand new vocal takes from underscores matching the updated K-pop styled production. The remix highlights the growing connection between K-pop and the Hyperpop world, with artists like RM of BTS and Keonho and Martin of CORTIS showing love to underscores in the months following the release of Do It.",https://s.disco.ac/jyurtylxxkye,,,,
,,,,,,,,,,,,,,,,,,,,,
,Rare,Jan 27,Joyce Manor,I Used To Go To This Bar,Single,"indie, alternative ",,,Epitaph Records,,spotify:track:7bkhTQrUmRPOTycSmif7fH,USEP42536005,1839918872,0045778816439,"Joyce Manor arranca la semana de lanzamiento con la canción que da título a su nuevo álbum, I Used To Go To This Bar. La letra captura la simpleza de ser joven, retratando con nostalgia ese bar venido a menos al que podías ir caminando desde tu primer departamento. La melodía encaja perfectamente con los grandes himnos del pop punk de la era Y2K. Actualmente la banda está subiendo en los charts de radio de alternative rock comercial y este año saldrá de gira junto a Militarie Gun. Joyce Manor tocará en Coachella en abril por segunda vez.","Joyce Manor kicks off release week with the title track of their new album, I Used To Go To This Bar. The lyrics capture the easy simplicity of being young, painting a nostalgic portrait of the rundown bar you could walk to from your first apartment. The melody sounds like it fits right in with the big Y2K pop-punk anthems. They’re currently climbing the commercial alt rock radio charts and are set to tour this year with Militarie Gun. Joyce Manor plays Coachella in April for the 2nd time.",https://epitaph.disco.ac/share-new/554110645/contact/2570476?signature=NskCMz2dC7BdhZzI4iGNyv7HBs0%3A4lprXCdH,,,,
,Med,Jan 27,Sean Solomon,Black Hole,Single,"Indie Rock, Alternative, singer songwriter",-,,ANTI-,,spotify:track:0n5xe23ugmGfEESw8WP1oe,USEP42544007,1862260612,45778816545,"“Blackhole” es una canción acústica, íntima y envolvente del artista y animador de Los Ángeles Sean Solomon, que retrata un momento formativo de su adolescencia vivido durante una internación en una unidad psiquiátrica. Grabada en una primera toma sin pulir, la canción potencia su cercanía emocional y sitúa al oyente directamente dentro de la experiencia. Recién firmado por ANTI-Records, Sean Solomon se perfila como una de las nuevas voces a seguir, con más lanzamientos y giras previstos para 2026.","“Blackhole” is a quiet, haunting acoustic song from LA artist and animator Sean Solomon, documenting a formative moment spent as a teenager in a psych ward. The unpolished first take recording amplifies the song’s intimacy, placing listeners directly inside the moment. A newly signed ANTI- Records artist, Sean Solomon is poised for a breakout with more releases and touring in 2026.",https://jumpshare.com/share/3mrXgNMVPltkJTSfNP9yJRap8,,,,
,Med,Jan 27,Ye Vagabonds,Danny,Single,"indie, alternative ",,Danny,River Lea Recordings,Beggars,spotify:track:0SodyCDKktmOihlKE7jL9p,GBCVZ2500226,1834736723,191402804157,"Tras haberse dado a conocer inicialmente como intérpretes de la música de sus ancestros mezclada con composiciones originales de folk, el nuevo disco de Ye Vagabonds presenta por primera vez únicamente canciones propias. Danny despliega la magia de las armonías de los hermanos, con instrumentos acústicos realzados por el brillo emotivo del sintetizador. Han estado de gira con artistas de la talla de Hozier, Phoebe Bridgers e I’m With Her. La cobertura de prensa del álbum incluye una reseña de 8/10 en Uncut, una sesión en WNYC y un reportaje en el Irish Sunday Times. Gira en 2026 por el Reino Unido, la Unión Europea, Irlanda y EE. UU.","Initially achieving renown as purveyors of their ancestors’ music mixed with folk-based originals, Ye Vagabonds’ new record features their own songs only for the first time. Danny shows the magic of the brothers’ harmonies, with acoustic instruments heightened by the emotive sparkle of synthesiser. Toured with the likes of Hozier, Phoebe Bridgers & I’m With Her. Album press includes 8/10 review in Uncut, WNYC Session, Irish Sunday Times feature. 2026 touring across UK, EU, IE & US.  ","https://www.promojukebox.com/PEMDL42901033-FSBUJDF82C2T6UK6-imeldahehir%40beggars.com,imelda.hehir.rough",,,,
,Low,Jan 27,Tyler Ballgame,"For The First Time, Again",Single,Indie alternative pop,Jan 30,"For The First Time, Again",Rough Trade,Beggars,spotify:track:6b2XjVTFSlEwonWbH1fIo3,GBCVZ2500162,1834736723,191402060553    ,"El álbum debut de Tyler Ballgame, For the First Time, Again, es una prueba del poder que tienen las buenas canciones cuando están en manos de un gran cantante. Producido por Jonathan Rado y Ryan Pollie, el disco recorre sonidos de rock clásico, indie y americana, con canciones cuidadas y directas que buscan conectar de forma honesta con quien las escucha. Es un trabajo sensible y cercano, que presenta a Ballgame como una voz nueva y muy prometedora.",,"https://www.promojukebox.com/PEMDL50753991-R4QLBQ8SZD8JDAZJ-imeldahehir%40beggars.com,imelda.hehir.rough",,,,
,High,Jan 28,Papa Roach,Wake Up Calling,Single,Rock,,,New Noize,,spotify:album:27yrc4BPvHGTLxlmfSAh6L,US39N2577769,1862338150,5026854385044,"Papa Roach arrasará en 2026 con el tercer sencillo de su nuevo ciclo, Wake Up Calling. Tras los éxitos número uno en las emisoras de rock Even If It Kills Me (la segunda canción más reproducida en las Active Rock radios de Norteamerica en 2025) y BRAINDEAD (con Toby Morse), los fans pueden esperar un sencillo multigénero de similar éxito a su imprecindible Leave a Light On. Con el apoyo de imágenes impactantes, una activación única para los fans, OMV, campañas de radio (Hot AC, Alt, Rock) y un gran año de giras mundiales, los fans de LATAM no tendrán otra opción que despertar con Wake Up Calling en sus cabezas.","Papa Roach will take 2026 by storm with the third single from their new cycle, Wake Up Calling. Following the number one hits on rock stations Even If It Kills Me (the second most played song on Active Rock radio in North America in 2025) and BRAINDEAD (featuring Toby Morse), fans can expect a multi-genre single with similar success to their essential Leave a Light On. Supported by striking visuals, a unique fan activation, OMV, radio campaigns (Hot AC, Alt, Rock), and a big year of world touring, LATAM fans will have no choice but to wake up with Wake Up Calling on their minds.",https://s.disco.ac/rnvpuwipgbtw ,,,,
1,High,Jan 28,Tom Misch,Sisters With Me ,Single,"indie, alternative ",March 27th ,,AWAL,,spotify:track:2ewg31VuWBIamb8f8APqw7,QMFMG2572801,1868437921,199806731215,"El tan esperado segundo álbum de Tom Misch, Full Circle, muestra al artista, compositor y productor londinense en su faceta más personal y honesta. El viaje comienza con su emotivo sencillo “Sisters With Me”, elegido Hottest Record de BBC Radio 1, y dedicado a sus dos hermanas. La canción nació durante un año inesperado y hermoso que pasaron viviendo juntos como adultos en la casa de su infancia.","Tom Misch’s long-awaited sophomore album Full Circle finds the London-based artist, songwriter, and producer at his most personal and honest. The journey begins with his soul-stirring single ‘Sisters With Me’, a BBC Radio 1 Hottest Record, and a dedication to his two sisters. The track was born during an unexpected, beautiful year spent living together as adults in their childhood home.",https://s.disco.ac/uyxfktolifne (pw: FC1234) ,,,,
,Med,Jan 28,Brooklyn Funk Essentials,Bust The Bus Stop,Single,alternative,,,,,spotify:album:0L5QLsN09E2r4DfenKmU03,,1868231371,5023639016520,"Un nuevo funk stomper con la colaboración de Alison Limerick llega de la mano de estas leyendas imparables. Fundado en 1992 por Arthur Baker y Lati Kronlund, el proyecto ha contado a lo largo de los años con distintos músicos y vocalistas, y este mes de abril lanzan su octavo álbum. The Bus Stop fue un estilo de baile shuffle creado en los años setenta. Tanto sus lanzamientos más recientes como los éxitos de su catálogo reciben un fuerte apoyo de emisoras de radio de todo el mundo.","Brand new Funk Stomper featuring Alison Limerick from unstoppable legends. Founded by Arthur Baker and Lati Kronlund in 1992, and featuring different musicians and vocalists over the years their eighth album is released this April. The Bus Stop was a shuffle style dance created in the seventies. Both their recent releases and calaogue hits receive strong support from radio around the world.",https://www.dropbox.com/scl/fi/p105snfc535ky0298bb4y/02-Brooklyn-Funk-Essentials-Bust-The-Bus-Stop-SEYAY2600101-Dorado-Records.wav?rlkey=rv3gldyd9iph205rks21i99it&st=qtonojle&dl=0,,,,
,Med,Jan 28,Two Shell,The Nightmare / Follow,Single,electronic alternative,,The Nightmare,Young,Beggars,spotify:track:0tHopCSHUlzvni2x7NhjgA,UK7MC2500307,1850726282, 889030047656,"Tras el lanzamiento de su álbum sorpresa ‘IIcons’ y para celebrar sus apariciones en Art Basel y Live From Earth, Two Shell regresa con el doble sencillo ‘The Nightmare / Follow’. ‘The Nightmare’ ha estado presente en los electrizantes e impredecibles shows en vivo del dúo en 2025 y es muy esperado después de aparecer en sets en Waterworks y Dekmantel. El sencillo los muestra cambiando a un modo de dance pop himno con su característica energía inquieta de club y voces de sintetizador distorsionadas, uniéndose para la temporada alta de raves.","Following the release of their surprise album ‘IIcons’, & to mark appearances at Art Basel & Live From Earth, Two Shell return with double single ‘The Nightmare / Follow’. ‘The Nightmare’ has lived in the duo’s electrifying & unpredictable live shows in 2025 and is highly anticipated after featuring in sets at Waterworks & Dekmantel. The single sees them shift into anthemic dance pop-mode with their signature restless club energy & distorted synth vocals coming together for peak-rave season.","https://www.promojukebox.com/PEMDL89197300-C8KW5YHS4H3UQ72E-imeldahehir%40beggars.com,imelda.hehir.ytrus",,,,
,Low,Jan 28,Ye Vagabonds,Danny,Single,"indie, alternative ",,,River Lea Recordings,Beggars,spotify:track:0SodyCDKktmOihlKE7jL9p,GBCVZ2500226,1834736723,191402804157,"Tras haberse dado a conocer inicialmente como intérpretes de la música de sus ancestros mezclada con composiciones originales de folk, el nuevo disco de Ye Vagabonds presenta por primera vez únicamente canciones propias. Danny despliega la magia de las armonías de los hermanos, con instrumentos acústicos realzados por el brillo emotivo del sintetizador. Han estado de gira con artistas de la talla de Hozier, Phoebe Bridgers e I’m With Her. La cobertura de prensa del álbum incluye una reseña de 8/10 en Uncut, una sesión en WNYC y un reportaje en el Irish Sunday Times. Gira en 2026 por el Reino Unido, la Unión Europea, Irlanda y EE. UU.","Initially achieving renown as purveyors of their ancestors’ music mixed with folk-based originals, Ye Vagabonds’ new record features their own songs only for the first time. Danny shows the magic of the brothers’ harmonies, with acoustic instruments heightened by the emotive sparkle of synthesiser. Toured with the likes of Hozier, Phoebe Bridgers & I’m With Her. Album press includes 8/10 review in Uncut, WNYC Session, Irish Sunday Times feature. 2026 touring across UK, EU, IE & US.  ","https://www.promojukebox.com/PEMDL42901033-FSBUJDF82C2T6UK6-imeldahehir%40beggars.com,imelda.hehir.rough",,,,
2,High,Jan 29,Thundercat,Did This To Myself (feat Lil Yachty),Single,"r&b, alternative",,,Brainfeeder,NInja Tune,spotify:track:7fJM4XjW6m30iPxPxKeGpb ,GBCFB2500645,1861531672,5054429210095,"Thundercat presenta Distracted, su primer álbum desde el ganador del GRAMMY It Is What It Is (2020). El proyecto llega el 3 de abril y está encabezado por “I Did This To Myself” junto a Lil Yachty, producido por Flying Lotus. Con 15 canciones que fusionan jazz, funk, rock y pop, el disco incluye colaboraciones con A$AP Rocky, Mac Miller, WILLOW, Beck, Tame Impala y más, acompañado por una gira global y fuerte apoyo mediático.","Thundercat returns with Distracted, his first album since the GRAMMY-winning It Is What It Is (2020). Led by “I Did This To Myself” feat. Lil Yachty, produced by Flying Lotus, the album arrives April 3 and blends jazz, funk, rock and pop across 15 tracks. Featuring A$AP Rocky, Mac Miller, WILLOW, Beck, Tame Impala and more, Distracted is supported by global touring and major media moments.","Thundercat presents Distracted, his first album since the GRAMMY-winning It Is What It Is (2020). Out April 3, the project is led by “I Did This To Myself” featuring Lil Yachty, produced by Flying Lotus. Across 15 tracks blending jazz, funk, rock, and pop, the album features collaborations with A$AP Rocky, Mac Miller, WILLOW, Beck, Tame Impala, and more, supported by a global tour and strong media backing.",https://www.dropbox.com/scl/fi/i9mm1p2mckma3yilsegml/PRESS-New-Thunder-Session-Album2868-CREDIT_Neil_Krug.jpg?rlkey=ubkf7sim0fon9utcogxt1fix5&st=ywlbbv31&dl=0,,,
